id,topic,parentid,expanded,depth,importance
root,Knowledge,,true,0,10
ae8f078f,Formal Sciences,root,true,1,10
5d6dcc42,Physical Sciences,root,true,1,10
ccc09f12,Applied Sciences,root,true,1,9
269329c5,Mathematics,ae8f078f,true,2,10
45e285e4,Logic,ae8f078f,true,2,10
98b8d656,Theoretical Computer Science,ae8f078f,true,2,9
b8b9979e,Physics,5d6dcc42,true,2,10
86dcf248,Chemistry,5d6dcc42,true,2,9
903e519f,Engineering,ccc09f12,true,2,10
e064e71e,Information Theory,ae8f078f,true,2,8
e6d55ec5,Category Theory,ae8f078f,true,2,6
1b6ac6ac,Biology,5d6dcc42,true,2,8
7ca59e7a,Statistics,ae8f078f,true,2,9
e609b1a8,Applied Computer Science,ccc09f12,true,2,10
4e17adc6,Systems Theory,ae8f078f,true,2,7
e913d693,Decision Theory,ae8f078f,true,2,7
f83ebb4c,Game Theory,ae8f078f,true,2,7
aeb760fe,Control Theory,ae8f078f,true,2,6
56d4fb1c,Astronomy,5d6dcc42,true,2,7
aaffdf05,Materials Science,5d6dcc42,true,2,6
cc84fe6c,Earth Sciences,ccc09f12,true,2,8
447c14ae,Propositional Logic,45e285e4,true,3,10
14d9d121,Predicate Logic,45e285e4,true,3,10
53802d34,Modal Logic,45e285e4,true,3,8
05d4860c,Temporal Logic,45e285e4,true,3,7
c6f680b1,Fuzzy Logic,45e285e4,true,3,6
be2c7b37,Non-monotonic Logic,45e285e4,true,3,6
c9e909c8,Computability Theory,98b8d656,true,3,10
94566313,Complexity Theory,98b8d656,true,3,10
3df67df9,Automata Theory,98b8d656,true,3,9
bd55eb90,Formal Languages,98b8d656,true,3,8
fab0ab48,Proof Complexity,98b8d656,true,3,7
b383901c,Logic in CS,98b8d656,true,3,9
43d56a79,Algorithmic Information,98b8d656,true,3,7
a2633b58,Quantum Computation,98b8d656,true,3,7
ae9483bc,Distributed Computation,98b8d656,true,3,6
05e066b9,Cryptography Theory,98b8d656,true,3,7
60eb5e4e,Algorithmic Game Theory,98b8d656,true,3,6
0dffccb7,Pseudo‑randomness,98b8d656,true,3,6
e15d1cf2,Classical Mechanics,b8b9979e,true,3,9
f6697c7c,Thermodynamics,b8b9979e,true,3,8
1970cbfa,Electromagnetism,b8b9979e,true,3,9
005c524b,Quantum Mechanics,b8b9979e,true,3,10
136c6a29,Relativity,b8b9979e,true,3,9
