parentid,childid,relation,order
root,ae8f078f,is_a,0
root,5d6dcc42,is_a,0
root,ccc09f12,is_a,0
ae8f078f,269329c5,is_a,0
ae8f078f,45e285e4,is_a,0
ae8f078f,98b8d656,is_a,0
ae8f078f,7ca59e7a,is_a,0
ae8f078f,e064e71e,is_a,0
ae8f078f,4e17adc6,is_a,0
ae8f078f,e913d693,is_a,0
ae8f078f,f83ebb4c,is_a,0
ae8f078f,aeb760fe,is_a,0
ae8f078f,e6d55ec5,is_a,0
5d6dcc42,b8b9979e,is_a,0
5d6dcc42,86dcf248,is_a,0
5d6dcc42,1b6ac6ac,is_a,0
5d6dcc42,56d4fb1c,is_a,0
5d6dcc42,aaffdf05,is_a,0
ccc09f12,903e519f,is_a,0
ccc09f12,cc84fe6c,is_a,0
ccc09f12,e609b1a8,is_a,0
ccc09f12,aaffdf05,is_a,0
45e285e4,447c14ae,is_a,0
45e285e4,14d9d121,is_a,0
45e285e4,53802d34,is_a,0
45e285e4,05d4860c,is_a,0
45e285e4,c6f680b1,is_a,0
45e285e4,be2c7b37,is_a,0
98b8d656,c9e909c8,is_a,0
98b8d656,94566313,is_a,0
98b8d656,3df67df9,is_a,0
98b8d656,bd55eb90,is_a,0
98b8d656,fab0ab48,is_a,0
98b8d656,b383901c,is_a,0
98b8d656,43d56a79,is_a,0
98b8d656,a2633b58,is_a,0
98b8d656,ae9483bc,is_a,0
98b8d656,05e066b9,is_a,0
98b8d656,60eb5e4e,is_a,0
98b8d656,0dffccb7,is_a,0
b8b9979e,e15d1cf2,is_a,0
b8b9979e,f6697c7c,is_a,0
b8b9979e,1970cbfa,is_a,0
b8b9979e,005c524b,is_a,0
b8b9979e,136c6a29,is_a,0
b8b9979e,f2b703fb,is_a,0
b8b9979e,0b60cc26,is_a,0
b8b9979e,d782150b,is_a,0
b8b9979e,4528f9e4,is_a,0
b8b9979e,0ebd9ab4,is_a,0
b8b9979e,b5ac81a2,is_a,0
b8b9979e,930b5073,is_a,0
b8b9979e,bbb37034,is_a,0
b8b9979e,b3b14b97,is_a,0
b8b9979e,6732a134,is_a,0
86dcf248,f486d960,is_a,0
86dcf248,6c911750,is_a,0
86dcf248,a4506bec,is_a,0
86dcf248,24ac8cbe,is_a,0
86dcf248,1ff78bd4,is_a,0
86dcf248,e14fee71,is_a,0
86dcf248,049cf17d,is_a,0
86dcf248,11f60f27,is_a,0
86dcf248,167eaf55,is_a,0
86dcf248,970834e2,is_a,0
86dcf248,8d0071ed,is_a,0
903e519f,7887e00b,is_a,0
903e519f,f7371ed5,is_a,0
903e519f,9c3060a2,is_a,0
903e519f,96e3205a,is_a,0
903e519f,7a73bfcc,is_a,0
903e519f,3207d23c,is_a,0
903e519f,f271b850,is_a,0
903e519f,b7ad9f8b,is_a,0
903e519f,0b1b40f1,is_a,0
903e519f,54d24fbf,is_a,0
903e519f,04d8dece,is_a,0
903e519f,450c36f9,is_a,0
903e519f,468aa00f,is_a,0
903e519f,f973e689,is_a,0
903e519f,268a173e,is_a,0
903e519f,69f9dc30,is_a,0
903e519f,98b0ea7f,is_a,0
903e519f,b6933ce6,is_a,0
903e519f,f15284e1,is_a,0
e064e71e,d55cbdf9,is_a,0
e064e71e,8545aedc,is_a,0
e064e71e,ca52b158,is_a,0
e064e71e,9ccb39df,is_a,0
e064e71e,ba81cafc,is_a,0
e064e71e,735d659b,is_a,0
e064e71e,3b646aa7,is_a,0
e064e71e,939e6b55,is_a,0
e064e71e,df64bc27,is_a,0
e6d55ec5,fbafb375,is_a,0
e6d55ec5,6f5160af,is_a,0
e6d55ec5,b4af2db6,is_a,0
e6d55ec5,4c1a789c,is_a,0
e6d55ec5,4b2e9399,is_a,0
e6d55ec5,72279494,is_a,0
e6d55ec5,70ef8326,is_a,0
e6d55ec5,ff2f345d,is_a,0
e6d55ec5,5e31912a,is_a,0
1b6ac6ac,6fe654f9,is_a,0
1b6ac6ac,9ff4fbf2,is_a,0
1b6ac6ac,bacb9aed,is_a,0
1b6ac6ac,e14fee71,is_a,0
1b6ac6ac,5f0d28f1,is_a,0
1b6ac6ac,4a8aaf76,is_a,0
1b6ac6ac,6e598cfd,is_a,0
1b6ac6ac,f083b172,is_a,0
1b6ac6ac,a72bcd0e,is_a,0
1b6ac6ac,41503362,is_a,0
1b6ac6ac,b4adae26,is_a,0
1b6ac6ac,e5daf711,is_a,0
1b6ac6ac,88e22a82,is_a,0
1b6ac6ac,b3b14b97,is_a,0
1b6ac6ac,2da1eddb,is_a,0
1b6ac6ac,bade27da,is_a,0
1b6ac6ac,a3ff10cd,is_a,0
1b6ac6ac,b4c28ec9,is_a,0
1b6ac6ac,75a6e3e4,is_a,0
1b6ac6ac,e8ac167b,is_a,0
7ca59e7a,083fffb6,is_a,0
7ca59e7a,971af246,is_a,0
7ca59e7a,c46985a7,is_a,0
7ca59e7a,96a54b30,is_a,0
7ca59e7a,6c6b362c,is_a,0
7ca59e7a,70602edd,is_a,0
7ca59e7a,4cc0d4d4,is_a,0
7ca59e7a,2ae01b2a,is_a,0
7ca59e7a,ef929b3a,is_a,0
7ca59e7a,1c1f3918,is_a,0
7ca59e7a,8530466c,is_a,0
7ca59e7a,e462b259,is_a,0
7ca59e7a,e913d693,is_a,0
7ca59e7a,bb79b33a,is_a,0
e609b1a8,63b84914,is_a,0
e609b1a8,8a7c6286,is_a,0
e609b1a8,c4397b3c,is_a,0
e609b1a8,25466890,is_a,0
e609b1a8,e1371d1b,is_a,0
e609b1a8,9a6857b7,is_a,0
e609b1a8,0c18a0e5,is_a,0
e609b1a8,221420f3,is_a,0
e609b1a8,5deb7065,is_a,0
e609b1a8,6a6ed802,is_a,0
e609b1a8,901bccb7,is_a,0
e609b1a8,2da1eddb,is_a,0
e609b1a8,4af6bad5,is_a,0
e609b1a8,5254b4fd,is_a,0
4e17adc6,f1630166,is_a,0
4e17adc6,aeb760fe,is_a,0
4e17adc6,e064e71e,is_a,0
4e17adc6,b97bcedc,is_a,0
4e17adc6,048dedfa,is_a,0
4e17adc6,43f9165c,is_a,0
4e17adc6,f83ebb4c,is_a,0
4e17adc6,265333d7,is_a,0
4e17adc6,94566313,is_a,0
4e17adc6,450c36f9,is_a,0
e913d693,793cee1e,is_a,0
e913d693,f83ebb4c,is_a,0
e913d693,67f41640,is_a,0
e913d693,7996f1e7,is_a,0
e913d693,89b0d286,is_a,0
e913d693,38530d3c,is_a,0
e913d693,41363c9d,is_a,0
f83ebb4c,3fd0e4f4,is_a,0
f83ebb4c,62d91f23,is_a,0
f83ebb4c,5ccadeb1,is_a,0
f83ebb4c,6967a812,is_a,0
f83ebb4c,a56adf3f,is_a,0
f83ebb4c,6e6d9d2f,is_a,0
f83ebb4c,60eb5e4e,is_a,0
f83ebb4c,0573f024,is_a,0
f83ebb4c,b3592164,is_a,0
aeb760fe,91d0f421,is_a,0
aeb760fe,13905726,is_a,0
aeb760fe,aac01a17,is_a,0
aeb760fe,f6002be0,is_a,0
aeb760fe,8663083b,is_a,0
aeb760fe,ea7740ad,is_a,0
aeb760fe,67b99442,is_a,0
aeb760fe,12fc1bb3,is_a,0
56d4fb1c,f7ca573e,is_a,0
56d4fb1c,bbb37034,is_a,0
56d4fb1c,a9b9cc3b,is_a,0
56d4fb1c,2ff0febe,is_a,0
56d4fb1c,3c665ea2,is_a,0
56d4fb1c,538ec56b,is_a,0
56d4fb1c,b539260c,is_a,0
56d4fb1c,91d8caa0,is_a,0
56d4fb1c,e8d71092,is_a,0
56d4fb1c,89d85f5e,is_a,0
56d4fb1c,2b1a42bd,is_a,0
56d4fb1c,4e932803,is_a,0
56d4fb1c,c70abe3f,is_a,0
56d4fb1c,d7b5633e,is_a,0
56d4fb1c,e4fd47e3,is_a,0
56d4fb1c,be813ff0,is_a,0
56d4fb1c,c89c8748,is_a,0
aaffdf05,dac82844,is_a,0
aaffdf05,970fdc4a,is_a,0
aaffdf05,847c256e,is_a,0
aaffdf05,2d87b8ef,is_a,0
aaffdf05,5f50a27e,is_a,0
aaffdf05,193b7ff7,is_a,0
aaffdf05,171a9472,is_a,0
aaffdf05,0619b234,is_a,0
aaffdf05,63f29b8c,is_a,0
aaffdf05,decab28d,is_a,0
aaffdf05,859e4831,is_a,0
aaffdf05,daf9f42b,is_a,0
aaffdf05,729aebca,is_a,0
aaffdf05,85d19508,is_a,0
cc84fe6c,6732a134,is_a,0
cc84fe6c,49480ebe,is_a,0
cc84fe6c,931c057a,is_a,0
cc84fe6c,465a775b,is_a,0
cc84fe6c,b012cd67,is_a,0
cc84fe6c,182062be,is_a,0
cc84fe6c,e3dce2d6,is_a,0
cc84fe6c,4f1b7a47,is_a,0
cc84fe6c,9915b8dc,is_a,0
447c14ae,2a961b3d,is_a,0
447c14ae,c3dc7646,is_a,0
447c14ae,a93dd1f9,is_a,0
447c14ae,f3887b3e,is_a,0
447c14ae,85eb22d9,is_a,0
447c14ae,13c577db,is_a,0
447c14ae,ccccec4e,is_a,0
447c14ae,8252c324,is_a,0
14d9d121,d4707b59,is_a,0
14d9d121,2e174dbc,is_a,0
14d9d121,c839a395,is_a,0
14d9d121,8ed9e941,is_a,0
14d9d121,f8ff9d97,is_a,0
14d9d121,2ebef0d0,is_a,0
14d9d121,be8fc5d9,is_a,0
14d9d121,198e6521,is_a,0
14d9d121,cc17207a,is_a,0
14d9d121,7206d618,is_a,0
53802d34,4e7c5ab0,is_a,0
53802d34,12b3913b,is_a,0
53802d34,05d4860c,is_a,0
53802d34,495173aa,is_a,0
53802d34,61a7f2b2,is_a,0
05d4860c,74044279,is_a,0
05d4860c,b6a37ff2,is_a,0
05d4860c,cf3543a0,is_a,0
05d4860c,387dbf37,is_a,0
05d4860c,a4aa6925,is_a,0
05d4860c,184821f0,is_a,0
05d4860c,7cf30719,is_a,0
05d4860c,5422e4f6,is_a,0
05d4860c,a2d595d9,is_a,0
c6f680b1,3c02df74,is_a,0
c6f680b1,9e659112,is_a,0
c6f680b1,54241c5f,is_a,0
c6f680b1,18dfc008,is_a,0
c6f680b1,c2862718,is_a,0
c6f680b1,8a8c7f9a,is_a,0
c6f680b1,6bab42c9,is_a,0
c6f680b1,9144e4c9,is_a,0
c6f680b1,4ec6a4b0,is_a,0
c6f680b1,d63fc235,is_a,0
c6f680b1,ef08511b,is_a,0
c6f680b1,54760e21,is_a,0
c6f680b1,ec7b9dfb,is_a,0
c6f680b1,8cdd421e,is_a,0
c6f680b1,74c5f5d3,is_a,0
be2c7b37,eb0c4397,is_a,0
be2c7b37,3abd6406,is_a,0
be2c7b37,a3323ddc,is_a,0
be2c7b37,cfa44d1b,is_a,0
be2c7b37,ca4eceb1,is_a,0
be2c7b37,efe9b48f,is_a,0
be2c7b37,a7711249,is_a,0
c9e909c8,54146fd5,is_a,0
c9e909c8,01d48ca3,is_a,0
c9e909c8,f8ff9d97,is_a,0
c9e909c8,0d9e0985,is_a,0
c9e909c8,5a53a779,is_a,0
c9e909c8,7c4a07ec,is_a,0
c9e909c8,3df67df9,is_a,0
94566313,2d7b61c2,is_a,0
94566313,7938d1a5,is_a,0
94566313,67bab8f9,is_a,0
94566313,6353e088,is_a,0
94566313,89b554e4,is_a,0
94566313,8aa57bfb,is_a,0
94566313,1b79f397,is_a,0
94566313,78e465db,is_a,0
94566313,64ad868e,is_a,0
94566313,b83c4ffb,is_a,0
3df67df9,0a2c3005,is_a,0
3df67df9,58083802,is_a,0
3df67df9,54146fd5,is_a,0
3df67df9,34f9eb89,is_a,0
3df67df9,5542ccbf,is_a,0
bd55eb90,02a3e73c,is_a,0
bd55eb90,69164373,is_a,0
bd55eb90,444dcde7,is_a,0
bd55eb90,26c89346,is_a,0
bd55eb90,0a2c3005,is_a,0
bd55eb90,58083802,is_a,0
bd55eb90,54146fd5,is_a,0
bd55eb90,6abdc366,is_a,0
bd55eb90,7b5b599c,is_a,0
bd55eb90,4bb460b6,is_a,0
fab0ab48,762b09e9,is_a,0
fab0ab48,eab70557,is_a,0
fab0ab48,2f4d5f86,is_a,0
fab0ab48,0b91fd5d,is_a,0
fab0ab48,6a6fbbf4,is_a,0
fab0ab48,13c577db,is_a,0
fab0ab48,d54c591e,is_a,0
fab0ab48,aac80881,is_a,0
fab0ab48,48564e08,is_a,0
fab0ab48,ccaab99d,is_a,0
fab0ab48,36573edf,is_a,0
fab0ab48,d5d4e9f7,is_a,0
fab0ab48,198e6521,is_a,0
fab0ab48,cf303645,is_a,0
fab0ab48,30a98fc0,is_a,0
fab0ab48,28131310,is_a,0
fab0ab48,cdeb1390,is_a,0
fab0ab48,2a0964d2,is_a,0
fab0ab48,7bca35eb,is_a,0
fab0ab48,1706a30f,is_a,0
fab0ab48,37c889ef,is_a,0
fab0ab48,fc9d05e1,is_a,0
fab0ab48,c3dc81a9,is_a,0
fab0ab48,2dd076a9,is_a,0
fab0ab48,ae84cccd,is_a,0
fab0ab48,f4415bc2,is_a,0
b383901c,198207f7,is_a,0
b383901c,7e1a5822,is_a,0
b383901c,53802d34,is_a,0
b383901c,05d4860c,is_a,0
b383901c,24155dd2,is_a,0
b383901c,c6f680b1,is_a,0
b383901c,be2c7b37,is_a,0
b383901c,3505c8a9,is_a,0
b383901c,89f934bd,is_a,0
43d56a79,825a8c0b,is_a,0
43d56a79,96dc2e42,is_a,0
43d56a79,719c637a,is_a,0
43d56a79,26e8f222,is_a,0
43d56a79,ba81cafc,is_a,0
43d56a79,da969146,is_a,0
43d56a79,c7b2b404,is_a,0
43d56a79,e86c0473,is_a,0
43d56a79,68b9f4ee,is_a,0
43d56a79,a9cc2cdd,is_a,0
43d56a79,104e5ec5,is_a,0
43d56a79,2ef28013,is_a,0
a2633b58,776c7304,is_a,0
a2633b58,c19b215b,is_a,0
a2633b58,d5dbedf1,is_a,0
a2633b58,2579b033,is_a,0
a2633b58,ac794f1b,is_a,0
a2633b58,855db9a6,is_a,0
a2633b58,4a315e36,is_a,0
a2633b58,ed6075e9,is_a,0
a2633b58,1bbd9691,is_a,0
a2633b58,e3a48680,is_a,0
a2633b58,88ffc617,is_a,0
a2633b58,bc06a092,is_a,0
ae9483bc,27c79fba,is_a,0
ae9483bc,9b855b87,is_a,0
ae9483bc,910a31a2,is_a,0
ae9483bc,eedf6ed3,is_a,0
ae9483bc,d18e5476,is_a,0
ae9483bc,e475f0b8,is_a,0
ae9483bc,81f2478a,is_a,0
ae9483bc,748cc19b,is_a,0
ae9483bc,f091e784,is_a,0
ae9483bc,3cb52798,is_a,0
05e066b9,470ea0b1,is_a,0
05e066b9,53e1bf31,is_a,0
05e066b9,ff11a648,is_a,0
05e066b9,4a32609e,is_a,0
05e066b9,f4994356,is_a,0
05e066b9,a1021ea3,is_a,0
05e066b9,dff31df7,is_a,0
05e066b9,e38c967a,is_a,0
05e066b9,82d13c7d,is_a,0
05e066b9,d2239a49,is_a,0
60eb5e4e,6967a812,is_a,0
60eb5e4e,a56adf3f,is_a,0
60eb5e4e,79ba3391,is_a,0
60eb5e4e,c3ad5f79,is_a,0
60eb5e4e,d59457fb,is_a,0
60eb5e4e,a598a6e9,is_a,0
60eb5e4e,3805942b,is_a,0
60eb5e4e,54f0c637,is_a,0
0dffccb7,84ea629f,is_a,0
0dffccb7,dff31df7,is_a,0
0dffccb7,37c889ef,is_a,0
0dffccb7,3b23eb60,is_a,0
0dffccb7,8318503e,is_a,0
0dffccb7,0f63000c,is_a,0
0dffccb7,1b258278,is_a,0
e15d1cf2,320a741f,is_a,0
e15d1cf2,f679cb40,is_a,0
e15d1cf2,b9c9f379,is_a,0
e15d1cf2,f6697c7c,is_a,0
e15d1cf2,b5aa3753,is_a,0
f6697c7c,2953adc3,is_a,0
f6697c7c,e0026bd5,is_a,0
f6697c7c,85d97444,is_a,0
f6697c7c,31d405fc,is_a,0
f6697c7c,286a87c3,is_a,0
f6697c7c,c24676f4,is_a,0
f6697c7c,74d8f83c,is_a,0
f6697c7c,43db28c1,is_a,0
f6697c7c,fb20351a,is_a,0
f6697c7c,712e28af,is_a,0
f6697c7c,0db0573b,is_a,0
f6697c7c,aaa0340c,is_a,0
1970cbfa,683dc1e8,is_a,0
1970cbfa,9aa0440a,is_a,0
1970cbfa,441c6ab2,is_a,0
1970cbfa,35c2a829,is_a,0
1970cbfa,f93c3001,is_a,0
1970cbfa,ba0fe7fc,is_a,0
1970cbfa,c45406b9,is_a,0
1970cbfa,f45a1a40,is_a,0
1970cbfa,f66b437e,is_a,0
1970cbfa,930b5073,is_a,0
005c524b,563dc435,is_a,0
005c524b,876eec0c,is_a,0
005c524b,c579a8f5,is_a,0
005c524b,b2707747,is_a,0
005c524b,88bafefd,is_a,0
005c524b,b6ce96b4,is_a,0
005c524b,e4a4e66c,is_a,0
005c524b,11e78062,is_a,0
005c524b,96b5631d,is_a,0
005c524b,e6ced64f,is_a,0
005c524b,8dff507f,is_a,0
