id,topic,path,depth
root,Knowledge,,0
ae8f078f,Formal Sciences,Formal Sciences,1
5d6dcc42,Physical Sciences,Physical Sciences,1
ccc09f12,Applied Sciences,Applied Sciences,1
269329c5,Mathematics,Formal Sciences > Mathematics,2
45e285e4,Logic,Formal Sciences > Logic,2
98b8d656,Theoretical Computer Science,Formal Sciences > Theoretical Computer Science,2
b8b9979e,Physics,Physical Sciences > Physics,2
86dcf248,Chemistry,Physical Sciences > Chemistry,2
903e519f,Engineering,Applied Sciences > Engineering,2
e064e71e,Information Theory,Formal Sciences > Information Theory,2
e6d55ec5,Category Theory,Formal Sciences > Category Theory,2
1b6ac6ac,Biology,Physical Sciences > Biology,2
7ca59e7a,Statistics,Formal Sciences > Statistics,2
e609b1a8,Applied Computer Science,Applied Sciences > Applied Computer Science,2
4e17adc6,Systems Theory,Formal Sciences > Systems Theory,2
e913d693,Decision Theory,Formal Sciences > Decision Theory,2
f83ebb4c,Game Theory,Formal Sciences > Game Theory,2
aeb760fe,Control Theory,Formal Sciences > Control Theory,2
56d4fb1c,Astronomy,Physical Sciences > Astronomy,2
aaffdf05,Materials Science,Physical Sciences > Materials Science,2
cc84fe6c,Earth Sciences,Applied Sciences > Earth Sciences,2
447c14ae,Propositional Logic,Formal Sciences > Logic > Propositional Logic,3
14d9d121,Predicate Logic,Formal Sciences > Logic > Predicate Logic,3
53802d34,Modal Logic,Formal Sciences > Logic > Modal Logic,3
05d4860c,Temporal Logic,Formal Sciences > Logic > Temporal Logic,3
c6f680b1,Fuzzy Logic,Formal Sciences > Logic > Fuzzy Logic,3
be2c7b37,Non-monotonic Logic,Formal Sciences > Logic > Non-monotonic Logic,3
c9e909c8,Computability Theory,Formal Sciences > Theoretical Computer Science > Computability Theory,3
94566313,Complexity Theory,Formal Sciences > Theoretical Computer Science > Complexity Theory,3
3df67df9,Automata Theory,Formal Sciences > Theoretical Computer Science > Automata Theory,3
